step,method,q,seed,ablation,alpha_mean,beta_mean
1789952,TEL-PPO,55.0,50,baseline,6440.25,26318.76
1794048,TEL-PPO,55.0,50,baseline,6470.88,26271.98
1798144,TEL-PPO,55.0,50,baseline,6462.56,26279.48
1802240,TEL-PPO,55.0,50,baseline,6474.92,26279.35
1806336,TEL-PPO,55.0,50,baseline,6473.17,26384.23
1810432,TEL-PPO,55.0,50,baseline,6471.53,26448.3
1814528,TEL-PPO,55.0,50,baseline,6508.16,26455.28
1818624,TEL-PPO,55.0,50,baseline,6509.54,26487.01
1822720,TEL-PPO,55.0,50,baseline,6519.66,26485.61
1826816,TEL-PPO,55.0,50,baseline,6527.54,26490.27
1830912,TEL-PPO,55.0,50,baseline,6545.67,26471.9
1835008,TEL-PPO,55.0,50,baseline,6559.97,26459.02
1839104,TEL-PPO,55.0,50,baseline,6551.64,26472.19
1843200,TEL-PPO,55.0,50,baseline,6546.85,26444.98
1847296,TEL-PPO,55.0,50,baseline,6568.96,26456.31
1851392,TEL-PPO,55.0,50,baseline,6566.45,26488.93
1855488,TEL-PPO,55.0,50,baseline,6583.4,26499.47
1859584,TEL-PPO,55.0,50,baseline,6593.96,26477.46
1863680,TEL-PPO,55.0,50,baseline,6583.0,26470.4
1867776,TEL-PPO,55.0,50,baseline,6570.26,26485.43
1871872,TEL-PPO,55.0,50,baseline,6566.39,26485.64
1875968,TEL-PPO,55.0,50,baseline,6576.06,26470.26
1880064,TEL-PPO,55.0,50,baseline,6566.62,26515.3
1884160,TEL-PPO,55.0,50,baseline,6542.88,26581.08
1888256,TEL-PPO,55.0,50,baseline,6564.82,26600.53
1892352,TEL-PPO,55.0,50,baseline,6573.73,26619.69
1896448,TEL-PPO,55.0,50,baseline,6580.81,26638.82
1900544,TEL-PPO,55.0,50,baseline,6574.42,26678.92
1904640,TEL-PPO,55.0,50,baseline,6585.89,26685.44
1908736,TEL-PPO,55.0,50,baseline,6578.0,26686.01
1912832,TEL-PPO,55.0,50,baseline,6566.92,26662.26
1916928,TEL-PPO,55.0,50,baseline,6566.72,26664.6
1921024,TEL-PPO,55.0,50,baseline,6547.53,26695.62
1925120,TEL-PPO,55.0,50,baseline,6574.9,26674.12
1929216,TEL-PPO,55.0,50,baseline,6590.86,26659.27
1933312,TEL-PPO,55.0,50,baseline,6604.45,26673.77
1937408,TEL-PPO,55.0,50,baseline,6621.15,26721.95
1941504,TEL-PPO,55.0,50,baseline,6626.31,26770.42
1945600,TEL-PPO,55.0,50,baseline,6613.55,26796.82
1949696,TEL-PPO,55.0,50,baseline,6613.56,26803.71
1953792,TEL-PPO,55.0,50,baseline,6630.68,26797.39
1957888,TEL-PPO,55.0,50,baseline,6654.02,26785.57
1961984,TEL-PPO,55.0,50,baseline,6662.12,26799.62
